method,avg_instruction_length,avg_quality_score,avg_response_length,bleu4,distinct_1,distinct_2,distinct_3,domain_relevance,factcheck,n,rouge_l,structural_completeness
CoDE (ours),106.0,0.6694,379.6,0.1932,0.0032,0.1061,0.3045,0.3637,0.9478,2000,0.338,0.9985
direct_prompting,130.3,,966.4,0.0424,0.0009,0.0124,0.0291,0.0197,0.8702,2000,0.0838,1.0
self_instruct,95.8,,712.7,0.0098,0.0006,0.0033,0.0113,0.0025,0.9336,2000,0.0407,1.0
wizardlm_evol,2596.8,,3238.2,0.0119,0.0003,0.0038,0.0102,0.0249,0.5508,2000,0.0376,1.0
ablation/collaboration/collab_none,86.9,0.6178,633.2,0.0859,0.005,0.0607,0.1294,0.079,0.9483,500,0.1322,0.997
ablation/collaboration/collab_parallel,85.0,0.6473,644.6,0.1145,0.0052,0.0703,0.1528,0.0913,0.9372,500,0.159,1.0
ablation/collaboration/collab_sequential,102.4,0.6396,596.9,0.1164,0.0055,0.0748,0.1612,0.0905,0.9503,500,0.1621,0.999
ablation/expert_count/expert_count_1,86.7,0.6176,603.6,0.0771,0.0052,0.0624,0.1323,0.0801,0.9485,500,0.1304,0.999
ablation/expert_count/expert_count_2,101.0,0.6408,615.1,0.1161,0.0054,0.0739,0.1591,0.0917,0.9576,500,0.1769,0.999
ablation/expert_count/expert_count_3,109.1,0.6453,632.2,0.117,0.0053,0.0731,0.1574,0.0921,0.9481,500,0.157,1.0
ablation/expert_count/expert_count_5,119.7,0.6463,664.9,0.1136,0.0049,0.0681,0.147,0.0956,0.9504,500,0.1707,1.0
ablation/feedback/feedback_0,105.8,0.6264,635.4,0.0908,0.005,0.0639,0.1369,0.0763,0.9594,500,0.143,0.999
ablation/feedback/feedback_1,104.9,0.6329,644.2,0.0912,0.0047,0.0611,0.1312,0.0769,0.9577,500,0.1519,1.0
ablation/feedback/feedback_2,101.0,0.6494,612.0,0.1243,0.0053,0.075,0.1601,0.0963,0.9526,500,0.1776,0.999
ablation/knowledge/knowledge_off,97.0,0.6273,647.3,0.0931,0.005,0.0634,0.1342,0.0876,0.9466,500,0.1594,0.998
ablation/knowledge/knowledge_on,95.5,0.6349,626.2,0.1051,0.0052,0.0693,0.1489,0.0969,0.9487,500,0.1629,1.0
